,question,answer,key phrases
772,"Suppose I have a df which has columns of 'ID', 'col_1', 'col_2'. And I define a function :","The method you are looking for is Series.combine. 
However, it seems some care has to be taken around datatypes. 
In your example, you would (as I did when testing the answer) naively call ",
778,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","ctypes module is part of the standard library, and therefore is more stable and widely available than swig, which always tended to give me problems.",
781,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","I started my journey in the Python <-> C++ binding from this page, with the objective of linking high level data types (multidimensional STL vectors with Python lists) :-)",
783,"I am writing a project in Django and I see that 80% of the code is in the file models.py. This code is confusing and, after a certain time, I cease to understand what is really happening.","It seems like you are asking about the difference between the data model and the domain model – the latter is where you can find the business logic and entities as perceived by your end user, the former is where you actually store your data.",
784,"I am writing a project in Django and I see that 80% of the code is in the file models.py. This code is confusing and, after a certain time, I cease to understand what is really happening.","I usually implement a service layer in between views and models. This acts like your project's API and gives you a good helicopter view of what is going on. I inherited this practice from a colleague of mine that uses this layering technique a lot with Java projects (JSF), e.g:",
786,"I am writing a project in Django and I see that 80% of the code is in the file models.py. This code is confusing and, after a certain time, I cease to understand what is really happening.","Django employs a slightly modified kind of MVC. There's no concept of a ""controller"" in Django. The closest proxy is a ""view"", which tends to cause confusion with MVC converts because in MVC a view is more like Django's ""template"".",
787,"I am writing a project in Django and I see that 80% of the code is in the file models.py. This code is confusing and, after a certain time, I cease to understand what is really happening.","In Django, MVC structure is as Chris Pratt said, different from classical MVC model used in other frameworks, I think the main reason for doing this is avoiding a too strict application structure, like happens in others MVC frameworks like CakePHP.",
788,I have constructed a condition that extract exactly one row from my data frame:,"If you have a DataFrame with only one row, then access the first (only) row as a Series using iloc, and then the value using the column name:",
797,I have a Pandas Dataframe as below:,I just wanted to provide a bit of an update/special case since it looks like people still come here. If you're using a multi-index or otherwise using an index-slicer the inplace=True option may not be enough to update the slice you've chosen. For example in a 2x2 level multi-index this will not change any values (as of pandas 0.15):,
799,Is there a way to conveniently define a C-like structure in Python? I'm tired of writing stuff like:,"Use a named tuple, which was added to the collections module in the standard library in Python 2.6. It's also possible to use Raymond Hettinger's named tuple recipe if you need to support Python 2.4.",
800,Is there a way to conveniently define a C-like structure in Python? I'm tired of writing stuff like:,"You can use a tuple for a lot of things where you would use a struct in C (something like x,y coordinates or RGB colors for example).",
804,I know there is a method for a Python list to return the first index of something:,"If you need the index of the first occurrence of only one value, you can use nonzero (or where, which amounts to the same thing in this case):",
809,"I see people are using any to gather another list to see if an item exists in a list, but is there a quick way to just do something like this?","In addition to what other have said, you may also be interested to know that what in does is to call the list.__contains__ method, that you can define on any class you write and can get extremely handy to use python at his full extent.  ",
810,"I see people are using any to gather another list to see if an item exists in a list, but is there a quick way to just do something like this?","I came up with this one liner recently for getting True if a list contains any number of occurrences of an item, or False if it contains no occurrences or nothing at all. Using next(...) gives this a default return value (False) and means it should run significantly faster than running the whole list comprehension.",
811,"I see people are using any to gather another list to see if an item exists in a list, but is there a quick way to just do something like this?","The list method index will return -1 if the item is not present, and will return the index of the item in the list if it is present. Alternatively in an if statement you can do the following:",
814,"Given a Python object of any kind, is there an easy way to get the list of all methods that this object has?",You can use the built in dir() function to get a list of all the attributes a module has.  Try this at the command line to see how it works.,
822,Suppose the following:,"To provide some timing figures behind the different approaches, consider the following code.
The get() is my custom addition to Python's setobject.c, being just a pop() without removing the element.",
827,"randrange(start, stop) only takes integer arguments. So how would I get a random number between two float values?","From my experience dealing with python, I can only say that the random function can help in generating random float numbers. Take the example below;",
837,"I need help with setting the limits of y-axis on matplotlib. Here is the code that I tried, unsuccessfully.","Just for fine tuning. If you want to set only one of the boundaries of the axis and let the other boundary unchanged, you can choose one or more of the following statements",
838,"What's all this fuss about Python and CPython (Jython,IronPython), I don't get it:","CPython is the original Python implementation. It is the implementation you download from Python.org. People call it CPython to distinguish it from other, later, Python implementations, and to distinguish the implementation of the language engine from the Python programming language itself.",
842,"What's all this fuss about Python and CPython (Jython,IronPython), I don't get it:",Python is a language: a set of rules that can be used to write programs. There are several implementaions of this language. ,
844,I'm using the subprocess module to start a subprocess and connect to its output stream (standard output). I want to be able to execute non-blocking reads on its standard output. Is there a way to make .readline non-blocking or to check if there is data on the stream before I invoke .readline? I'd like this to be portable or at least work under Windows and Linux.,"I have often had a similar problem; Python programs I write frequently need to have the ability to execute some primary functionality while simultaneously accepting user input from the command line (stdin). Simply putting the user input handling functionality in another thread doesn't solve the problem because readline() blocks and has no timeout. If the primary functionality is complete and there is no longer any need to wait for further user input I typically want my program to exit, but it can't because readline() is still blocking in the other thread waiting for a line. A solution I have found to this problem is to make stdin a non-blocking file using the fcntl module:",
847,I'm using the subprocess module to start a subprocess and connect to its output stream (standard output). I want to be able to execute non-blocking reads on its standard output. Is there a way to make .readline non-blocking or to check if there is data on the stream before I invoke .readline? I'd like this to be portable or at least work under Windows and Linux.,"You can do this really easily in Twisted. Depending upon your existing code base, this might not be that easy to use, but if you are building a twisted application, then things like this become almost trivial. You create a ProcessProtocol class, and override the outReceived() method. Twisted (depending upon the reactor used) is usually just a big select() loop with callbacks installed to handle data from different file descriptors (often network sockets). So the outReceived() method is simply installing a callback for handling data coming from STDOUT.  A simple example demonstrating this behavior is as follows:",
848,Is there any benefit in using compile for regular expressions in Python?,"I've had a lot of experience running a compiled regex 1000s of times versus compiling on-the-fly, and have not noticed any perceivable difference.  Obviously, this is anecdotal, and certainly not a great argument against compiling, but I've found the difference to be negligible.",
852,Is there any benefit in using compile for regular expressions in Python?,"I just tried this myself. For the simple case of parsing a number out of a string and summing it, using a compiled regular expression object is about twice as fast as using the re methods.",
854,I want to delete the file filename if it exists.  Is it proper to say,"I prefer to suppress an exception rather than checking for the file's existence, to avoid a TOCTTOU bug.  Matt's answer is a good example of this, but we can simplify it slightly under Python 3, using contextlib.suppress():",
859,"I've been working on a web app using Django, and I'm curious if there is a way to schedule a job to run periodically. ","Celery is a distributed task queue, built on AMQP (RabbitMQ). It also handles periodic tasks in a cron-like fashion (see periodic tasks). Depending on your app, it might be worth a gander.",
860,"I've been working on a web app using Django, and I'm curious if there is a way to schedule a job to run periodically. ",We've open-sourced what I think is a structured app. that Brian's solution above alludes too. We would love any / all feedback!,
866,I have a list of 2-item tuples and I'd like to convert them to 2 lists where the first contains the first item in each tuple and the second list holds the second item.,"If you have lists that are not the same length, you may not want to use zip as per Patricks answer. This works:",
869,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?",To add to existing  answer - related name is a must in case there 2 FKs in the model that point to the same table. For example in case of Bill of material,
870,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?","The related_name argument is also useful if you have more complex related class names. For example, if you have a foreign key relationship:",
872,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?","The related name parameter is actually an option. If we do not set it, Django
automatically creates the other side of the relation for us. In the case of the Map model,
Django would have created a map_set attribute, allowing access via m.map_set in your
example(m being your class instance). The formula Django uses is the name of the model followed by the
string _set. The related name parameter thus simply overrides Django’s default rather
than providing new behavior.",
885,Python is installed in a local directory.  ,"I ran into something very similar when I did this exercise in LPTHW; I could never get Python to recognise that I had files in the directory I was calling from. But I was able to get it to work in the end. What I did, and what I recommend, is to try this:",
887,Python is installed in a local directory.  ,"You are reading this answer says that your __init__.py is in the right place, you have installed all the dependencies and you are still getting the ImportError.",
892,I am very new to Python and trying to > pip install linkchecker on Windows 7. Some notes:,"The answers are quite similar and a bit confusing. In my case, the certificates in my company's network was the issue. I was able to work around the problem using:",
898,What the difference is between flush() and commit() in SQLAlchemy?,"A Session object is basically an ongoing transaction of changes to a database (update, insert, delete). These operations aren't persisted to the database until they are committed (if your program aborts for some reason in mid-session transaction, any uncommitted changes within are lost).",
899,What the difference is between flush() and commit() in SQLAlchemy?,This does not strictly answer the original question but some people have mentioned that with session.autoflush = True you don't have to use session.flush()... And this is not always true.,
901,What the difference is between flush() and commit() in SQLAlchemy?,"Use flush when you need to simulate a write, for example to get a primary key ID from an autoincrementing counter.",
902,What the difference is between flush() and commit() in SQLAlchemy?,The existing answers don't make a lot of sense unless you understand what a database transaction is. (Twas the case for myself until recently.),
903,I'm having a hard time wrapping my brain around PEP 380.,"Let's get one thing out of the way first. The explanation that yield from g is equivalent to for v in g: yield v does not even begin to do justice to what yield from is all about. Because, let's face it, if all yield from does is expand the for loop, then it does not warrant adding yield from to the language and preclude a whole bunch of new features from being implemented in Python 2.x.",
905,I'm having a hard time wrapping my brain around PEP 380.,"Wherever you invoke a generator from within a generator you need a ""pump"" to re-yield the values:  for v in inner_generator: yield v.  As the PEP points out there are subtle complexities to this which most people ignore.  Non-local flow-control like throw() is one example given in the PEP.  The new syntax yield from inner_generator is used wherever you would have written the explicit for loop before.  It's not merely syntactic sugar, though:  It handles all of the corner cases that are ignored by the for loop.  Being ""sugary"" encourages people to use it and thus get the right behaviors.",
907,I'm having a hard time wrapping my brain around PEP 380.,"In applied usage for the Asynchronous IO coroutine, yield from has a similar behavior as await in a coroutine function. Both of which is used to suspend the execution of coroutine. ",
908,How do I learn where the source file for a given Python module is installed? Is the method different on Windows than on Linux?,"For a pure python module you can find the source by looking at themodule.__file__.
The datetime module, however, is written in C, and therefore datetime.__file__ points to a .so file (there is no datetime.__file__ on Windows), and therefore, you can't see the source.",
909,How do I learn where the source file for a given Python module is installed? Is the method different on Windows than on Linux?,Running python -v from the command line should tell you what is being imported and from where.  This works for me on Windows and Mac OS X.,
913,Is there a performance or code maintenance issue with using assert as part of the standard code instead of using it just for debugging purposes?,Asserts should be used to test conditions that should never happen.  The purpose is to crash early in the case of a corrupt program state.,
915,Is there a performance or code maintenance issue with using assert as part of the standard code instead of using it just for debugging purposes?,To be able to automatically throw an error when x become less than zero throughout the function. You can use class descriptors. Here is an example:,
916,Is there a performance or code maintenance issue with using assert as part of the standard code instead of using it just for debugging purposes?,"Assume you work on 200,000 lines of code with four colleagues Alice, Bernd, Carl, and Daphne.
They call your code, you call their code.",
917,Is there a performance or code maintenance issue with using assert as part of the standard code instead of using it just for debugging purposes?,"In addition to the other answers, asserts themselves throw exceptions, but only AssertionErrors. From a utilitarian standpoint, assertions aren't suitable for when you need fine grain control over which exceptions you catch.",
921,"In C++, I can iterate over an std::string like this:","Just to make a more comprehensive answer, the C way of iterating over a string can apply in Python, if you really wanna force a square peg into a round hole.",
928,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","If you're brand new to using unittests, the simplest approach to learn is often the best. On that basis along I recommend using py.test rather than the default unittest module.",
939,Sometimes I come across code such as this:,"These are subplot grid parameters encoded as a single integer. For example, ""111"" means ""1x1 grid, first subplot"" and ""234"" means ""2x3 grid, 4th subplot"".",
944,"I'm trying to use NetworkX to read a Shapefile and use the function write_shp() to generate the Shapefiles that will contain the nodes and edges, but when I try to run the code it gives me the following error:","In Python2, we had .items() and .iteritems() in dictionaries. dict.items() returned list of tuples in dictionary [(k1,v1),(k2,v2),...]. It copied all tuples in dictionary and created new list. If dictionary is very big, there is very big memory impact. ",
945,"I'm trying to use NetworkX to read a Shapefile and use the function write_shp() to generate the Shapefiles that will contain the nodes and edges, but when I try to run the code it gives me the following error:",I had a similar problem (using 3.5) and lost 1/2 a day to it but here is a something that works - I am retired and just learning Python so I can help my grandson (12) with it.,
946,"I'm trying to use NetworkX to read a Shapefile and use the function write_shp() to generate the Shapefiles that will contain the nodes and edges, but when I try to run the code it gives me the following error:","In Python2, dictionary.iteritems() is more efficient than dictionary.items() so in Python3, the functionality of dictionary.iteritems() has been migrated to dictionary.items() and iteritems() is removed. So you are getting this error. ",
947,"I'm trying to use NetworkX to read a Shapefile and use the function write_shp() to generate the Shapefiles that will contain the nodes and edges, but when I try to run the code it gives me the following error:",The purpose of .iteritems() was to use less memory space by yielding one result at a time while looping. I am not sure why Python 3 version does not support iteritems()though it's been proved to be efficient than .items(),
948,"__del__(self) above fails with an AttributeError exception.  I understand Python doesn't guarantee the existence of ""global variables"" (member data in this context?) when __del__() is invoked.  If that is the case and this is the reason for the exception, how do I make sure the object destructs properly?",I'd recommend using Python's with statement for managing resources that need to be cleaned up.  The problem with using an explicit close() statement is that you have to worry about people forgetting to call it at all or forgetting to place it in a finally block to prevent a resource leak when an exception occurs.,
952,"__del__(self) above fails with an AttributeError exception.  I understand Python doesn't guarantee the existence of ""global variables"" (member data in this context?) when __del__() is invoked.  If that is the case and this is the reason for the exception, how do I make sure the object destructs properly?",I don't think that it's possible for instance members to be removed before __del__ is called. My guess would be that the reason for your particular AttributeError is somewhere else (maybe you mistakenly remove self.file elsewhere).,
953,"Reading the changes in Python 3.1, I found something... unexpected:","Named tuples are basically easy-to-create, lightweight object types.  Named tuple instances can be referenced using object-like variable dereferencing or the standard tuple syntax.  They can be used similarly to struct or other common record types, except that they are immutable.  They were added in Python 2.6 and Python 3.0, although there is a recipe for implementation in Python 2.4.",
955,"Reading the changes in Python 3.1, I found something... unexpected:",namedtuple is a factory function for making a tuple class. With that class we can create tuples that are callable by name also.,
956,"Reading the changes in Python 3.1, I found something... unexpected:","namedtuples are a great feature, they are perfect container for data. When you have to ""store"" data you would use tuples or dictionaries, like:",
961,What is the difference between old style and new style classes in Python?  When should I use one or the other?,"Old style classes are still marginally faster for attribute lookup. This is not usually important, but it may be useful in performance-sensitive Python 2.x code:",
963,Should I put the shebang in my Python scripts? In what form?,"The shebang line in any script determines the script's ability to be executed like a standalone executable without typing python beforehand in the terminal or when double clicking it in a file manager (when configured properly). It isn't necessary but generally put there so when someone sees the file opened in an editor, they immediately know what they're looking at. However, which shebang line you use is important.",
964,Should I put the shebang in my Python scripts? In what form?,It's really just a matter of taste. Adding the shebang means people can invoke the script directly if they want (assuming it's marked as executable); omitting it just means python has to be invoked manually.,
966,Should I put the shebang in my Python scripts? In what form?,"If you have more than one version of Python and the script needs to run under a specific version, the she-bang can ensure the right one is used when the script is executed directly, for example:",
967,Should I put the shebang in my Python scripts? In what form?,You should add a shebang if the script is intended to be executable. You should also install the script with an installing software that modifies the shebang to something correct so it will work on the target platform. Examples of this is distutils and Distribute.,
969,How can I print the error/exception in my except: block?,"The traceback module provides methods for formatting and printing exceptions and their tracebacks, e.g. this would print exception like the default handler does:",
975,"I need to get the location of the home directory of the current logged-on user. Currently, I've been using the following on Linux:","I know this is an old thread, but I recently needed this for a large scale project (Python 3.8). It had to work on any mainstream OS, so therefore I went with the solution @Max wrote in the comments.",
978,The community reviewed whether to reopen this question last month and left it closed:,All proposed answers so far seem to miss the fact that a double (floats in python are actually doubles) can also be an integer (if it has nothing after the decimal point).  I use the built-in is_integer() method on doubles to check this.,
980,The community reviewed whether to reopen this question last month and left it closed:,If you really need to check then it's better to use abstract base classes rather than concrete classes. For an integer that would mean:,
988,I wonder what is better to do:,Use dict.has_key() if (and only if) your code is required to be runnable by Python versions earlier than 2.3 (when key in dict was introduced). ,
995,How do I import other files in Python?,Don't just hastily pick the first import strategy that works for you or else you'll have to rewrite the codebase later on when you find it doesn't meet your needs.  ,
998,How do I import other files in Python?,"First case 
You want to import file A.py in file B.py, these two files are in the same folder, like this:",
999,How do I import other files in Python?,You do not have many complex methods to import a python file from one folder to another. Just create a __init__.py file to declare this folder is a python package and then go to your host file where you want to import just type ,
1003,"I am looking for minimum and maximum values for integers in python. For eg., in Java, we have Integer.MIN_VALUE and Integer.MAX_VALUE. Is there something like this in python?","In Python integers will automatically switch from a fixed-size int representation into a variable width long representation once you pass the value sys.maxint, which is either 231 - 1 or 263 - 1 depending on your platform. Notice the L that gets appended here:",
1006,"What is the purpose of __slots__ in Python — especially with respect to when I would want to use it, and when not?","The special attribute __slots__ allows you to explicitly state which instance attributes you expect your object instances to have, with the expected results:",
1008,"What is the purpose of __slots__ in Python — especially with respect to when I would want to use it, and when not?","You would want to use __slots__ if you are going to instantiate a lot (hundreds, thousands) of objects of the same class. __slots__ only exists as a memory optimization tool.",
1009,"What is the purpose of __slots__ in Python — especially with respect to when I would want to use it, and when not?",Each python object has a __dict__ atttribute which is a dictionary containing all other attributes. e.g. when you type self.attr python is actually doing self.__dict__['attr']. As you can imagine using a dictionary to store attribute takes some extra space & time for accessing it.,
1016,I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"It is strange how much beauty varies for different people. I find the list comprehension much clearer than filter+lambda, but use whichever you find easier.",
1017,I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"This is a somewhat religious issue in Python. Even though Guido considered removing map, filter and reduce from Python 3, there was enough of a backlash that in the end only reduce was moved from built-ins to functools.reduce.",
1018,I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"Since any speed difference is bound to be miniscule, whether to use filters or list comprehensions comes down to a matter of taste. In general I'm inclined to use comprehensions (which seems to agree with most other answers here), but there is one case where I prefer filter. ",
1019,I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"Although filter may be the ""faster way"", the ""Pythonic way"" would be not to care about such things unless performance is absolutely critical (in which case you wouldn't be using Python!).",
1020,I happened to find myself having a basic filtering need: I have a list and I have to filter it by an attribute of the items.,"I thought I'd just add that in python 3, filter() is actually an iterator object, so you'd have to pass your filter method call to list() in order to build the filtered list. So in python 2:",
1023,"I am trying to print an integer in Python 2.6.1 with commas as thousands separators. For example, I want to show the number 1234567 as 1,234,567. How would I go about doing this? I have seen many examples on Google, but I am looking for the simplest practical way.",I'm surprised that no one has mentioned that you can do this with f-strings in Python 3.6+ as easy as this:,
1027,I have a list of dictionaries like this:,"The other answers are correct, but not much has been explained in terms of advantages and limitations of these methods. The aim of this post will be to show examples of these methods under different situations, discuss when to use (and when not to use), and suggest alternatives.",
1030,I have a list of dictionaries like this:,"Pyhton3:
Most of the solutions listed previously work. However, there are instances when row_number of the dataframe is not required and the each row (record) has to be written individually.",
1031,"I notice that a pre-increment/decrement operator can be applied on a variable (like ++count). It compiles, but it does not actually change the value of the variable!","++ is not an operator. It is two + operators. The + operator is the identity operator, which does nothing. (Clarification: the + and - unary operators only work on numbers, but I presume that you wouldn't expect a hypothetical ++ operator to work on strings.)",
1033,"I notice that a pre-increment/decrement operator can be applied on a variable (like ++count). It compiles, but it does not actually change the value of the variable!","While the others answers are correct in so far as they show what a mere + usually does (namely, leave the number as it is, if it is one), they are incomplete in so far as they don't explain what happens.",
1035,"I notice that a pre-increment/decrement operator can be applied on a variable (like ++count). It compiles, but it does not actually change the value of the variable!","Python does not have these operators, but if you really need them you can write a function having the same functionality.",
1040,Here's my code:,"You use and and or to perform logical operations like in C, C++. Like literally and is && and or is ||. ",
1042,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","lambda is just a fancy way of saying function. Other than its name, there is nothing obscure, intimidating or cryptic about it. When you read the following line, replace lambda by function in your mind:",
1044,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","A lambda is part of a very important abstraction mechanism which deals with higher order functions. To get proper understanding of its value, please watch high quality lessons from Abelson and Sussman, and read the book SICP",
1045,"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","I doubt lambda will go away.
See Guido's post about finally giving up trying to remove it. Also see an outline of the conflict.",
1048,"I work with Series and DataFrames on the terminal a lot. The default __repr__ for a Series returns a reduced sample, with some head and tail values, but the rest missing.","Sure, if this comes up a lot, make a function like this one. You can even configure it to load every time you start IPython: https://ipython.org/ipython-doc/1/config/overview.html",
1055,I'm helping a veterinary clinic measuring pressure under a dogs paw. I use Python for my data analysis and now I'm stuck trying to divide the paws into (anatomical) subregions.,This problem has been studied in some depth by physicists. There is a good implementation in ROOT. Look at the TSpectrum classes (especially TSpectrum2 for your case) and the documentation for them.,
1057,A tweet reads: ,Many of the answers here are out of date for 2015 (although the initially accepted one from Daniel Roseman is not). Here's the current state of things:,
1058,A tweet reads: ,Another—as of yet unmentioned—reason for favoring pip is because it is the new hotness and will continue to be used in the future.,
1068,"In Python, how do I get a function name as a string, without calling the function?","There are also other fun properties of functions. Type dir(func_name) to list them. func_name.func_code.co_code is the compiled function, stored as a string.",
1074,"Using pip, is it possible to figure out which version of a package is currently installed?","and with --outdated as an extra argument, you will get the Current and Latest versions of the packages you are using :",
1075,"Using pip, is it possible to figure out which version of a package is currently installed?",You can also install yolk and then run yolk -l which also gives some nice output.  Here is what I get for my little virtualenv:,
1077,"I know pip is a package manager for python packages. However, I saw the installation on IPython's website use conda to install IPython.","Disclaimer: This answer describes the state of things as it was a decade ago, at that time pip did not support binary packages. Conda was specifically created to better support building and distributing binary packages, in particular data science libraries with C extensions. For reference, pip only gained widespread support for portable binary packages with wheels (pip 1.4 in 2013) and the manylinux1 specification (pip 8.1 in March 2016). See the more recent answer for more history.",
1079,"I know pip is a package manager for python packages. However, I saw the installation on IPython's website use conda to install IPython.","Not to confuse you further, 
but you can also use pip within your conda environment, which validates the general vs. python specific managers comments above. ",
1082,"I am trying to understand the advantages of multiprocessing over threading. I know that multiprocessing gets around the Global Interpreter Lock, but what other advantages are there, and can threading not do the same thing?","The threading module uses threads, the multiprocessing module uses processes. The difference is that threads run in the same memory space, while processes have separate memory. This makes it a bit harder to share objects between processes with multiprocessing. Since threads use the same memory, precautions have to be taken or two threads will write to the same memory at the same time. This is what the global interpreter lock is for.",
1083,"I am trying to understand the advantages of multiprocessing over threading. I know that multiprocessing gets around the Global Interpreter Lock, but what other advantages are there, and can threading not do the same thing?","Threading's job is to enable applications to be responsive. Suppose you have a database connection and you need to respond to user input. Without threading, if the database connection is busy the application will not be able to respond to the user. By splitting off the database connection into a separate thread you can make the application more responsive. Also because both threads are in the same process, they can access the same data structures - good performance, plus a flexible software design.",
1085,"I am trying to understand the advantages of multiprocessing over threading. I know that multiprocessing gets around the Global Interpreter Lock, but what other advantages are there, and can threading not do the same thing?","The key advantage is isolation. A crashing process won't bring down other processes, whereas a crashing thread will probably wreak havoc with other threads.",
1086,How do I create a GUID in Python that is platform independent? I hear there is a method using ActivePython on Windows but it's Windows only because it uses COM. Is there a method using plain Python?,"The uuid module provides immutable UUID objects (the UUID class) and the functions uuid1(), uuid3(), uuid4(), uuid5() for generating version 1, 3, 4, and 5 UUIDs as specified in RFC 4122.",
1090,How do I create a GUID in Python that is platform independent? I hear there is a method using ActivePython on Windows but it's Windows only because it uses COM. Is there a method using plain Python?,If you need to pass UUID for a primary key for your model or unique field then below code returns the UUID object -     ,
1092,"I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. ","The answers suggesting list comprehensions are ALMOST correct -- except that they build a completely new list and then give it the same name the old list as, they do NOT modify the old list in place. That's different from what you'd be doing by selective removal, as in @Lennart's suggestion -- it's faster, but if your list is accessed via multiple references the fact that you're just reseating one of the references and NOT altering the list object itself can lead to subtle, disastrous bugs.",
1093,"I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. ","You need to take a copy of the list and iterate over it first, or the iteration will fail with what may be unexpected results.",
1097,"Given a path such as ""mydir/myfile.txt"", how do I find the file's absolute path relative to the current working directory in Python? E.g. on Windows, I might end up with:","You could use the new Python 3.4 library pathlib. (You can also get it for Python 2.6 or 2.7 using pip install pathlib.) The authors wrote: ""The aim of this library is to provide a simple hierarchy of classes to handle filesystem paths and the common operations users do over them.""",
1098,"Given a path such as ""mydir/myfile.txt"", how do I find the file's absolute path relative to the current working directory in Python? E.g. on Windows, I might end up with:","Install a third-party path module (found on PyPI), it wraps all the os.path functions and other related functions into methods on an object that can be used wherever strings are used:",
1099,"Given a path such as ""mydir/myfile.txt"", how do I find the file's absolute path relative to the current working directory in Python? E.g. on Windows, I might end up with:","Note that expanduser is necessary (on Unix) in case the given expression for the file (or directory) name and location may contain a leading ~/(the tilde refers to the user's home directory), and expandvars takes care of any other environment variables (like $HOME).",
1107,I'm building a Python application and don't want to force my clients to install Python and modules.,"You can use py2exe as already answered and use Cython to convert your key .py files in .pyc, C compiled files, like .dll in Windows and .so on Linux.",
1108,I'm building a Python application and don't want to force my clients to install Python and modules.,You might wish to investigate Nuitka. It takes Python source code and converts it in to C++ API calls. Then it compiles into an executable binary (ELF on Linux). It has been around for a few years now and supports a wide range of Python versions.,
1113,"Today, I came across the dict method get which, given a key in the dictionary, returns the associated value.","get takes a second optional value.  If the specified key does not exist in your dictionary, then this value will be returned.",
1114,"Today, I came across the dict method get which, given a key in the dictionary, returns the associated value.","I will give a practical example in scraping web data using python, a lot of the times you will get keys with no values, in those cases you will get errors if you use dictionary['key'], whereas dictionary.get('key', 'return_otherwise') has no problems.",
1122,"I've always laughed to myself when I've looked back at my VB6 days and thought, ""What modern language doesn't allow incrementing with double plus signs?"":","Simply put, the ++ and -- operators don't exist in Python because they wouldn't be operators, they would have to be statements. All namespace modification in Python is a statement, for simplicity and consistency. That's one of the design decisions. And because integers are immutable, the only way to 'change' a variable is by reassigning it.",
1125,"I've always laughed to myself when I've looked back at my VB6 days and thought, ""What modern language doesn't allow incrementing with double plus signs?"":","The main reason ++ comes in handy in C-like languages is for keeping track of indices. In Python, you deal with data in an abstract way and seldom increment through indices and such. The closest-in-spirit thing to ++ is the next method of iterators.",
1127,I have a dataframe in pandas which I would like to write to a CSV file.,"When you are storing a DataFrame object into a csv file using the to_csv method, you probably wont be needing to store the preceding indices of each row of the DataFrame object.",
1128,I have a dataframe in pandas which I would like to write to a CSV file.,"To write a pandas DataFrame to a CSV file, you will need DataFrame.to_csv. This function offers many arguments with reasonable defaults that you will more often than not need to override to suit your specific use case. For example, you might want to use a different separator, change the datetime format, or drop the index when writing. to_csv has arguments you can pass to address these requirements.",
1130,I have a dataframe in pandas which I would like to write to a CSV file.,Something else you can try if you are having issues encoding to 'utf-8' and want to go cell by cell you could try the following. ,
1132,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?",To add to existing  answer - related name is a must in case there 2 FKs in the model that point to the same table. For example in case of Bill of material,
1133,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?","The related_name argument is also useful if you have more complex related class names. For example, if you have a foreign key relationship:",
1135,"What is the related_name argument useful for on ManyToManyField and ForeignKey fields? For example, given the following code, what is the effect of related_name='maps'?","The related name parameter is actually an option. If we do not set it, Django
automatically creates the other side of the relation for us. In the case of the Map model,
Django would have created a map_set attribute, allowing access via m.map_set in your
example(m being your class instance). The formula Django uses is the name of the model followed by the
string _set. The related name parameter thus simply overrides Django’s default rather
than providing new behavior.",
1148,Python is installed in a local directory.  ,"I ran into something very similar when I did this exercise in LPTHW; I could never get Python to recognise that I had files in the directory I was calling from. But I was able to get it to work in the end. What I did, and what I recommend, is to try this:",
1150,Python is installed in a local directory.  ,"You are reading this answer says that your __init__.py is in the right place, you have installed all the dependencies and you are still getting the ImportError.",
1151,What the difference is between flush() and commit() in SQLAlchemy?,"A Session object is basically an ongoing transaction of changes to a database (update, insert, delete). These operations aren't persisted to the database until they are committed (if your program aborts for some reason in mid-session transaction, any uncommitted changes within are lost).",
1152,What the difference is between flush() and commit() in SQLAlchemy?,This does not strictly answer the original question but some people have mentioned that with session.autoflush = True you don't have to use session.flush()... And this is not always true.,
1154,What the difference is between flush() and commit() in SQLAlchemy?,"Use flush when you need to simulate a write, for example to get a primary key ID from an autoincrementing counter.",
1155,What the difference is between flush() and commit() in SQLAlchemy?,The existing answers don't make a lot of sense unless you understand what a database transaction is. (Twas the case for myself until recently.),
1156,How do I learn where the source file for a given Python module is installed? Is the method different on Windows than on Linux?,"For a pure python module you can find the source by looking at themodule.__file__.
The datetime module, however, is written in C, and therefore datetime.__file__ points to a .so file (there is no datetime.__file__ on Windows), and therefore, you can't see the source.",
