question,answer,key phrases
"Given the name of a Python package that can be installed with pip, is there any way to find out a list of all the possible versions of it that pip could install? Right now it's trial and error.","(update: As of March 2020, many people have reported that yolk, installed via pip install yolk3k, only returns latest version.  Chris's answer seems to have the most upvotes and worked for me)",
"Given the name of a Python package that can be installed with pip, is there any way to find out a list of all the possible versions of it that pip could install? Right now it's trial and error.",You don't need a third party package to get this information. pypi provides simple JSON feeds for all packages under,
"Given the name of a Python package that can be installed with pip, is there any way to find out a list of all the possible versions of it that pip could install? Right now it's trial and error.","Update:
As of Sep 2017 this method no longer works: --no-install was removed in pip 7",
"Given the name of a Python package that can be installed with pip, is there any way to find out a list of all the possible versions of it that pip could install? Right now it's trial and error.",I came up with dead-simple bash script. Thanks to jq's author.,
"I want to add an item to an existing dictionary in Python. For example, this is my dictionary:",Easy as py.,
"I want to add an item to an existing dictionary in Python. For example, this is my dictionary:",It can be as simple as:,
"I want to add an item to an existing dictionary in Python. For example, this is my dictionary:","It occurred to me that you may have actually be asking how to implement the + operator for dictionaries, the following seems to work:",
I am working with code that throws a lot of (for me at the moment) useless warnings using the warnings library. Reading (/scanning) the documentation I only found a way to disable warnings for single functions. But I don't want to change so much of the code.,Look at the Temporarily Suppressing Warnings section of the Python docs:,
I am working with code that throws a lot of (for me at the moment) useless warnings using the warnings library. Reading (/scanning) the documentation I only found a way to disable warnings for single functions. But I don't want to change so much of the code.,There's the -W option.,
I am working with code that throws a lot of (for me at the moment) useless warnings using the warnings library. Reading (/scanning) the documentation I only found a way to disable warnings for single functions. But I don't want to change so much of the code.,You can also define an environment variable (new feature in 2010 - i.e. python 2.7),
I am working with code that throws a lot of (for me at the moment) useless warnings using the warnings library. Reading (/scanning) the documentation I only found a way to disable warnings for single functions. But I don't want to change so much of the code.,"If you don't want something complicated, then: ",
I am working with code that throws a lot of (for me at the moment) useless warnings using the warnings library. Reading (/scanning) the documentation I only found a way to disable warnings for single functions. But I don't want to change so much of the code.,This is an old question but there is some newer guidance in PEP 565 that to turn off all warnings if you're writing a python application you should use:,
How does one round a number UP in Python?,The ceil (ceiling) function:,
How does one round a number UP in Python?,"I know this answer is for a question from a while back, but if you don't want to import math and you just want to round up, this works for me.",
How does one round a number UP in Python?,Interesting Python 2.x issue to keep in mind:,
How does one round a number UP in Python?,"If working with integers, one way of rounding up is to take advantage of the fact that // rounds down: Just do the division on the negative number, then negate the answer.  No import, floating point, or conditional needed.",
How does one round a number UP in Python?,You might also like numpy:,
"Is there an easy way with Python f-strings to fix the number of digits after the decimal point? (Specifically f-strings, not other string formatting options like .format or %)",Include the type specifier in your format expression:,
"Is there an easy way with Python f-strings to fix the number of digits after the decimal point? (Specifically f-strings, not other string formatting options like .format or %)","When it comes to float numbers, you can use format specifiers:",
"Is there an easy way with Python f-strings to fix the number of digits after the decimal point? (Specifically f-strings, not other string formatting options like .format or %)","Adding to Robᵩ's answer: in case you want to print rather large numbers, using thousand separators can be a great help (note the comma).",
"Is there an easy way with Python f-strings to fix the number of digits after the decimal point? (Specifically f-strings, not other string formatting options like .format or %)","Adding to Rob's answer, you can use format specifiers with f strings (more here).",
"Is there an easy way with Python f-strings to fix the number of digits after the decimal point? (Specifically f-strings, not other string formatting options like .format or %)","Going further, Format strings have the below syntax. As you can see there is a lot more that can be done.",
"Is there any way to make pip play well with multiple versions of Python? For example, I want to use pip to explicitly install things to either my site 2.5 installation or my site 2.6 installation.","The current recommendation is to use python -m pip, where python is the version of Python you would like to use. This is the recommendation because it works across all versions of Python, and in all forms of virtualenv. For example:",
"Is there any way to make pip play well with multiple versions of Python? For example, I want to use pip to explicitly install things to either my site 2.5 installation or my site 2.6 installation.","On Windows, you can execute the pip module using a given Python version through the Python launcher, py.exe, if you chose to install it during Python 3 setup.",
"Is there any way to make pip play well with multiple versions of Python? For example, I want to use pip to explicitly install things to either my site 2.5 installation or my site 2.6 installation.","/path/to/python2.{5,6} /path/to/pip install PackageName doesn't work?",
"Is there any way to make pip play well with multiple versions of Python? For example, I want to use pip to explicitly install things to either my site 2.5 installation or my site 2.6 installation.","I had python 2.6 installed by default (Amazon EC2 AMI), but needed python2.7 plus some external packages for my application. Assuming you already installed python2.7 alongside with default python (2.6 in my case). Here is how to install pip and packages for non-default python2.7",
"Is there any way to make pip play well with multiple versions of Python? For example, I want to use pip to explicitly install things to either my site 2.5 installation or my site 2.6 installation.",It worked for me in windows this way:,
I am trying to fix how python plots my data.,You could explicitly set where you want to tick marks with plt.xticks:,
I am trying to fix how python plots my data.,Another approach is to set the axis locator:,
I am trying to fix how python plots my data.,I like this solution (from the Matplotlib Plotting Cookbook):,
I am trying to fix how python plots my data.,"In case anyone is interested in a general one-liner, simply get the current ticks and use it to set the new ticks by sampling every other tick.",
I am trying to fix how python plots my data.,"This is a bit hacky, but by far the cleanest/easiest to understand example that I've found to do this. It's from an answer on SO here:",
"I have a Unicode string in Python, and I would like to remove all the accents (diacritics).",Unidecode is the correct answer for this. It transliterates any unicode string into the closest possible representation in ascii text.,
"I have a Unicode string in Python, and I would like to remove all the accents (diacritics).",How about this:,
"I have a Unicode string in Python, and I would like to remove all the accents (diacritics).",I just found this answer on the Web:,
"I have a Unicode string in Python, and I would like to remove all the accents (diacritics).","Actually I work on project compatible python 2.6, 2.7 and 3.4 and I have to create IDs from free user entries. ",
"I have a Unicode string in Python, and I would like to remove all the accents (diacritics).","This handles not only accents, but also ""strokes"" (as in ø etc.):",
Does time.time() in the Python time module return the system's time or the time in UTC?,"The time.time() function returns the number of seconds since the epoch, as seconds.  Note that the ""epoch"" is defined as the start of January 1st, 1970 in UTC.  So the epoch is defined in terms of UTC and establishes a global moment in time.  No matter where you are ""seconds past epoch"" (time.time()) returns the same value at the same moment.",
Does time.time() in the Python time module return the system's time or the time in UTC?,"This is for the text form of a timestamp that can be used in your text files. (The title of the question was different in the past, so the introduction to this answer was changed to clarify how it could be interpreted as the time. [updated 2016-01-14])",
Does time.time() in the Python time module return the system's time or the time in UTC?,"Based on the answer from #squiguy, to get a true timestamp I would type cast it from float. ",
Does time.time() in the Python time module return the system's time or the time in UTC?,The answer could be neither or both.,
Does time.time() in the Python time module return the system's time or the time in UTC?,"To get a local timestamp using datetime library, Python 3.x",
"I need a way to get a dictionary value if its key exists, or simply return None, if it does not.",You can use dict.get(),
"I need a way to get a dictionary value if its key exists, or simply return None, if it does not.",Wonder no more. It's built into the language.,
"I need a way to get a dictionary value if its key exists, or simply return None, if it does not.",Use dict.get,
"I need a way to get a dictionary value if its key exists, or simply return None, if it does not.",You should use the get() method from the dict class,
"I need a way to get a dictionary value if its key exists, or simply return None, if it does not.","If you want a more transparent solution, you can subclass dict to get this behavior:",
How can I get the position of a character inside a string in Python?,"There are two string methods for this, find() and index().  The difference between the two is what happens when the search string isn't found.  find() returns -1  and index() raises a ValueError.",
How can I get the position of a character inside a string in Python?,"Just for a sake of completeness, if you need to find all positions of a character in a string, you can do the following:",
How can I get the position of a character inside a string in Python?,"""Long winded"" way",
How can I get the position of a character inside a string in Python?,"Just for completion, in the case I want to find the extension in a file name in order to check it, I need to find the last '.', in this case use rfind:",
How can I get the position of a character inside a string in Python?,"What happens when the string contains a duplicate character?
from my experience with index() I saw that for duplicate you get back the same index.",
I want to fill out a string with spaces. I know that the following works for zero's:,"You can do this with str.ljust(width[, fillchar]):",
I want to fill out a string with spaces. I know that the following works for zero's:,"For a flexible method that works even when formatting complicated string, you probably should use the string-formatting mini-language,",
I want to fill out a string with spaces. I know that the following works for zero's:,The new(ish) string format method lets you do some fun stuff with nested keyword arguments. The simplest case:,
I want to fill out a string with spaces. I know that the following works for zero's:,You can try this:,
I want to fill out a string with spaces. I know that the following works for zero's:,Correct way of doing this would be to use Python's format syntax as described in the official documentation,
"Dictionaries are ordered in Python 3.6 (under the CPython implementation at least) unlike in previous incarnations. This seems like a substantial change, but it's only a short paragraph in the documentation. It is described as a CPython implementation detail rather than a language feature, but also implies this may become standard in the future.",Are dictionaries ordered in Python 3.6+?,
"Dictionaries are ordered in Python 3.6 (under the CPython implementation at least) unlike in previous incarnations. This seems like a substantial change, but it's only a short paragraph in the documentation. It is described as a CPython implementation detail rather than a language feature, but also implies this may become standard in the future.",Below is answering the original first question:,
"Dictionaries are ordered in Python 3.6 (under the CPython implementation at least) unlike in previous incarnations. This seems like a substantial change, but it's only a short paragraph in the documentation. It is described as a CPython implementation detail rather than a language feature, but also implies this may become standard in the future.","Update:
Guido van Rossum announced on the mailing list that as of Python 3.7 dicts in all Python implementations must preserve insertion order.",
"Dictionaries are ordered in Python 3.6 (under the CPython implementation at least) unlike in previous incarnations. This seems like a substantial change, but it's only a short paragraph in the documentation. It is described as a CPython implementation detail rather than a language feature, but also implies this may become standard in the future.",I wanted to add to the discussion above but don't have the reputation to comment.,
"Dictionaries are ordered in Python 3.6 (under the CPython implementation at least) unlike in previous incarnations. This seems like a substantial change, but it's only a short paragraph in the documentation. It is described as a CPython implementation detail rather than a language feature, but also implies this may become standard in the future.","To fully answer this question in 2020, let me quote several statements from official Python docs:",
I am trying to pass a list as an argument to a command line program. Is there an argparse option to pass a list as option?,Use the nargs option or the 'append' setting of the action option (depending on how you want the user interface to behave).,
I am trying to pass a list as an argument to a command line program. Is there an argparse option to pass a list as option?,"I prefer passing a delimited string which I parse later in the script. The reasons for this are; the list can be of any type int or str, and sometimes using nargs I run into problems if there are multiple optional arguments and positional arguments.",
I am trying to pass a list as an argument to a command line program. Is there an argparse option to pass a list as option?,"Additionally to nargs, you might want to use choices if you know the list in advance:",
I am trying to pass a list as an argument to a command line program. Is there an argparse option to pass a list as option?,Using nargs parameter in argparse's add_argument method,
I am trying to pass a list as an argument to a command line program. Is there an argparse option to pass a list as option?,"If you are intending to make a single switch take multiple parameters, then you use nargs='+'. If your example '-l' is actually taking integers:",
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"Use __new__ when you need to control
the creation of a new instance.",
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"__new__ is static class method, while __init__ is instance method. 
__new__ has to create the instance first, so __init__ can initialize it. Note that __init__ takes self as parameter. Until you create instance there is no self.",
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"In most well-known OO languages, an expression like SomeClass(arg1, arg2) will allocate a new instance, initialise the instance's attributes, and then return it.",
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,To quote the documentation:,
I'm just trying to streamline one of my classes and have introduced some functionality in the same style as the flyweight design pattern.,"I realize that this question is quite old but I had a similar issue.
The following did what I wanted:",
How to set the current working directory in Python?,Try os.chdir,
How to set the current working directory in Python?,Perhaps this is what you are looking for:,
How to set the current working directory in Python?,To set the working directory:,
How to set the current working directory in Python?,It work for Mac also ,
How to set the current working directory in Python?,people using pandas package,
After you train a model in Tensorflow: ,I am improving my answer to add more details for saving and restoring models. ,
After you train a model in Tensorflow: ,"In (and after) TensorFlow version 0.11.0RC1, you can save and restore your model directly by calling tf.train.export_meta_graph and tf.train.import_meta_graph according to https://www.tensorflow.org/programmers_guide/meta_graph.",
After you train a model in Tensorflow: ,Adapted from the docs,
After you train a model in Tensorflow: ,For TensorFlow version < 0.11.0RC1:,
After you train a model in Tensorflow: ,"My environment: Python 3.6, Tensorflow 1.3.0",
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?",From PEP 8 - Style Guide for Python Code:,
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?",There is more than one way to do it.,
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?","If you want to assign a long string to variable, you can do it as below:",
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?",It works in Python too:,
"Just like C, you can break a long line into multiple short lines. But in Python, if I do this, there will be an indent error... Is it possible?","When trying to enter continuous text (say, a query) do not put commas at the end of the line or you will get a list of strings instead of one long string:",
How would one create an iterative function (or iterator object) in python?,"Iterator objects in python conform to the iterator protocol, which basically means they provide two methods: __iter__()  and  __next__().  ",
How would one create an iterative function (or iterator object) in python?,There are four ways to build an iterative function:,
How would one create an iterative function (or iterator object) in python?,I see some of you doing return self in __iter__. I just wanted to note that __iter__ itself can be a generator (thus removing the need for __next__ and raising StopIteration exceptions),
How would one create an iterative function (or iterator object) in python?,"First of all the itertools module is incredibly useful for all sorts of cases in which an iterator would be useful, but here is all you need to create an iterator in python:",
How would one create an iterative function (or iterator object) in python?,"This question is about iterable objects, not about iterators. In Python, sequences are iterable too so one way to make an iterable class is to  make it behave like a sequence, i.e. give it __getitem__ and __len__ methods. I have tested this on Python 2 and 3.",
"What is the python keyword ""with"" used for?","In python the with keyword is used when working with unmanaged resources (like file streams). It is similar to the using statement in VB.NET and C#. It allows you to ensure that a resource is ""cleaned up"" when the code that uses it finishes running, even if exceptions are thrown. It provides 'syntactic sugar' for try/finally blocks.",
"What is the python keyword ""with"" used for?",Explanation from the Pershing on Programming blog:,
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).",The -s switch disables per-test capturing (only if a test fails).,
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).","pytest captures the stdout from individual tests and displays them only on certain conditions, along with the summary of the tests it prints by default.",
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).","In an upvoted comment to the accepted answer, Joe asks:",
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).",When running the test use the -s option. All print statements in exampletest.py would get printed on the console when test is run.,
"Sometimes I want to just insert some print statements in my code, and see what gets printed out when I exercise it. My usual way to ""exercise"" it is with existing pytest tests. But when I run these, I don't seem able to see any standard output (at least from within PyCharm, my IDE).","According to pytest documentation, version 3 of pytest can temporary disable capture in a test:",
I understand how this construct works:,A common construct is to run a loop until something is found and then to break out of the loop. The problem is that if I break out of the loop or the loop ends I need to determine which case happened. One method is to create a flag or store variable that will let me do a second test to see how the loop was exited.,
I understand how this construct works:,"It's a strange construct even to seasoned Python coders. When used in conjunction with for-loops it basically means ""find some item in the iterable, else if none was found do ..."". As in:",
I understand how this construct works:,"There's an excellent presentation by Raymond Hettinger, titled Transforming Code into Beautiful, Idiomatic Python, in which he briefly addresses the history of the for ... else construct. The relevant section is ""Distinguishing multiple exit points in loops"" starting at 15:50 and continuing for about three minutes. Here are the high points:",
I understand how this construct works:,"To make it simple, you can think of it like that;",
I understand how this construct works:,"Because they didn't want to introduce a new keyword to the language. Each one steals an identifier and causes backwards compatibility problems, so it's usually a last resort.",
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?",Note: Egg packaging has been superseded by Wheel packaging.,
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?","The .egg file is a distribution format for Python packages. It’s just an alternative to a source code distribution or Windows exe. But note that for pure Python, the .egg file is completely cross-platform.",
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?","""Egg"" is a single-file importable distribution format for Python-related projects.",
"I'm new to Python and I'm just trying to understand how its packages work.  Presumably eggs are some sort of packaging mechanism, but what would be a quick overview of what role they play and may be some information on why they're useful and how to create them?","Disclaimer: egg is an abandoned format of python package, the tools to use eggs no longer exist.",
My Google-fu has failed me.,"is will return True if two variables point to the same object (in memory), == if the objects referred to by the variables are equal.",
My Google-fu has failed me.,There is a simple rule of thumb to tell you when to use == or is.,
My Google-fu has failed me.,"Yes, they have a very important difference.",
My Google-fu has failed me.,"== determines if the values are equal, while is determines if they are the exact same object.",
My Google-fu has failed me.,== and is are different comparison! As others already said:,
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,It's time to deprecate your usage of values and as_matrix().,
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,"To convert a pandas dataframe (df) to a numpy ndarray, use this code:",
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,Note: The .as_matrix() method used in this answer is deprecated. Pandas 0.23.4 warns:,
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,"I would just chain the DataFrame.reset_index() and DataFrame.values functions to get the Numpy representation of the dataframe, including the index:",
I am interested in knowing how to convert a pandas dataframe into a NumPy array.,"You can use the to_records method, but have to play around a bit with the dtypes if they are not what you want from the get go. In my case, having copied your DF from a string, the index type is string (represented by an object dtype in pandas):",
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1","Starting with Python 3, raw_input() was renamed to input().",
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1",This works in Python 3.x and 2.x:,
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1",A reliable way to address this is,
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1","As others have indicated, the raw_input function has been renamed to input in Python 3.0, and you really would be better served by a more up-to-date book, but I want to point out that there are better ways to see the output of your script.",
"I am using Python 3.1 and can't get the raw_input to ""freeze"" the dos pop-up. The book I'm reading is for Python 2.5 and I'm using Python 3.1","Timmerman's solution works great when running the code, but if you don't want to get Undefined name errors when using pyflakes or a similar linter you could use the following instead:",
"I'm using virtualenv and I need to install ""psycopg2"".","Note: Since a while back, there are binary wheels for Windows in PyPI, so this should no longer be an issue for Windows users. Below are solutions for Linux, Mac users, since lots of them find this post through web searches.",
"I'm using virtualenv and I need to install ""psycopg2"".","On CentOS, you need the postgres dev packages:",
"I'm using virtualenv and I need to install ""psycopg2"".",if you're on a mac you can use homebrew,
"I'm using virtualenv and I need to install ""psycopg2"".",On Mac Mavericks with Postgres.app version 9.3.2.0 RC2 I needed to use the following code after installing Postgres:,
"I'm using virtualenv and I need to install ""psycopg2"".",I recently configured psycopg2 on a windows machine. The easiest install is using a windows executable binary. You can find it at http://stickpeople.com/projects/python/win-psycopg/.,
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.",Register your handler with signal.signal like this:,
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.","You can treat it like an exception (KeyboardInterrupt), like any other. Make a new file and run it from your shell with the following contents to see what I mean:",
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.",And as a context manager:,
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.",You can handle CTRL+C by catching the KeyboardInterrupt exception. You can implement any clean-up code in the exception handler.,
"I'm working on a python script that starts several processes and database connections. Every now and then I want to kill the script with a Ctrl+C signal, and I'd like to do some cleanup.",From Python's documentation:,
I am trying to save a csv to a folder after making some edits to the file. ,Use index=False.,
I am trying to save a csv to a folder after making some edits to the file. ,There are two ways to handle the situation where we do not want the index to be stored in csv file.,
I am trying to save a csv to a folder after making some edits to the file. ,"If you want no index, read file using:",
I am trying to save a csv to a folder after making some edits to the file. ,"As others have stated, if you don't want to save the index column in the first place, you can use df.to_csv('processed.csv', index=False)",
I am trying to save a csv to a folder after making some edits to the file. ,Another solution if you want to keep this column as index. ,
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.",edit: Manual installation and use of setuptools is not the standard process anymore.,
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.",I was able to install pip for python 3 on Ubuntu just by running sudo apt-get install python3-pip. ,
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.","Good news! Python 3.4 (released March 2014) ships with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Nodejs, Haskell, Perl, Go--almost every other contemporary language with a majority open-source community. Thank you Python.",
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.",if you're using python 3.4+,
"I want to install pip. It should support Python 3, but it requires setuptools, which is available only for Python 2.","For Ubuntu 12.04 or older, ",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","There are a bunch of ways to do it, but the most straightforward is to simply 
use the Python debugger. Just add following line in to a Django view function:",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","I really like Werkzeug's interactive debugger. It's similar to Django's debug page, except that you get an interactive shell on every level of the traceback. If you use the django-extensions, you get a runserver_plus managment command which starts the development server and gives you Werkzeug's debugger on exceptions.",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",A little quickie for template tags:,
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",There are a few tools that cooperate well and can make your debugging task easier.,
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",I use PyCharm (same pydev engine as eclipse).  Really helps me to visually be able to step through my code and see what is happening.,
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,Use os.path.getsize(path) which will,
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,"Return the size, in bytes, of path. Raise os.error if the file does not exist or is inaccessible.",
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,"You may use os.stat() function, which is a wrapper of system call stat():",
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,Try ,
Is there a built-in function for getting the size of a file object in bytes? I see some people do something like this:,You can use os.stat(path) call,
What is the difference between the search() and match() functions in the Python re module?,"re.match is anchored at the beginning of the string. That has nothing to do with newlines, so it is not the same as using ^ in the pattern.",
What is the difference between the search() and match() functions in the Python re module?,search ⇒ find something anywhere in the string and return a match object.,
What is the difference between the search() and match() functions in the Python re module?,"match is much faster than search, so instead of doing regex.search(""word"") you can do regex.match((.*?)word(.*?)) and gain tons of performance if you are working with millions of samples.",
What is the difference between the search() and match() functions in the Python re module?,"re.search searches for the pattern throughout the string, whereas re.match does not search the pattern; if it does not, it has no other choice than to match it at start of the string.",
What is the difference between the search() and match() functions in the Python re module?,You can refer the below example to understand the working of re.match and re.search,
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".",Here's the way I do it with argparse (with multiple args):,
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".","My understanding of the original question is two-fold. First, in terms of the simplest possible argparse example, I'm surprised that I haven't seen it here. Of course, to be dead-simple, it's also all overhead with little power, but it might get you started.",
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".",The argparse documentation is reasonably good but leaves out a few useful details which might not be obvious. (@Diego Navarro already mentioned some of this but I'll try to expand on his answer slightly.) Basic usage is as follows:,
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".","Matt is asking about positional parameters in argparse, and I agree that the Python documentation is lacking on this aspect. There's not a single, complete example in the ~20 odd pages that shows both parsing and using positional parameters. ",
"The documentation for the argparse python module, while excellent I'm sure, is too much for my tiny beginner brain to grasp right now. I don't need to do math on the command line or meddle with formatting lines on the screen or change option characters. All I want to do is ""If arg is A, do this, if B do that, if none of the above show help and quit"".","Yet another summary introduction, inspired by this post.",
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","As of March 2020, most of the other answers to this question are several years out-of-date. When you come across advice on Python packaging issues, remember to look at the date of publication, and don't trust out-of-date information.",
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","I’m a distutils maintainer and distutils2/packaging contributor.  I did a talk about Python packaging at ConFoo 2011 and these days I’m writing an extended version of it.  It’s not published yet, so here are excerpts that should help define things.",
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","NOTE: Answer deprecated, Distribute now obsolete. This answer is no longer valid since the Python Packaging Authority was formed and has done a lot of work cleaning this up.",
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ",I realize that I have replied to your secondary question without addressing unquestioned assumptions in your original problem:,
"I’m trying to port an open-source library to Python 3.  (SymPy, if anyone is wondering.) ","Updating this question in late 2014 where fortunately the Python packaging chaos has been greatly cleaned up by Continuum's ""conda"" package manager.  ",
I've installed a library using the command,Normally your requirements.txt file would look something like this:,
I've installed a library using the command,"“Editable” packages syntax can be used in requirements.txt to import packages from a variety of VCS (git, hg, bzr, svn):",
I've installed a library using the command,requirements.txt allows the following ways of specifying a dependency on a package in a git repository as of pip 7.0:1,
I've installed a library using the command,"First, install with git+git or git+https, in any way you know. Example of installing kronok's branch of the brabeion project:",
I've installed a library using the command,"Since pip v1.5, (released Jan 1 2014: CHANGELOG, PR) you may also specify a subdirectory of a git repo to contain your module.  The syntax looks like this:",
"I'm writing a Python application that takes as a command as an argument, for example:","With Python older than 2.7/3.1, that's pretty much how you do it.",
"I'm writing a Python application that takes as a command as an argument, for example:",The recommended way for Python 2.7 and 3.1 and later is to use importlib module:,
"I'm writing a Python application that takes as a command as an argument, for example:",Note: imp is deprecated since Python 3.4 in favor of importlib,
"I'm writing a Python application that takes as a command as an argument, for example:",Nowadays you should use importlib. ,
"I'm writing a Python application that takes as a command as an argument, for example:","Use the imp module, or the more direct __import__() function.",
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,As of Flask 1.1.0 a view can directly return a Python dict and Flask will call jsonify automatically.,
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,"jsonify serializes the data you pass it to JSON. If you want to serialize the data yourself, do what jsonify does by building a response with status=200 and mimetype='application/json'.",
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,Pass keyword arguments to flask.jsonify and they will be output as a JSON object.,
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,"If you don't want to use jsonify for some reason, you can do what it does manually. Call flask.json.dumps to create JSON data, then return a response with the application/json content type.",
I have a function that analyzes a CSV file with Pandas and produces a dict with summary information. I want to return the results as a response from a Flask view. How do I return a JSON response?,To return a JSON response and set a status code you can use make_response:,
I haven't been able to find an understandable explanation of how to actually use Python's itertools.groupby() function.  What I'm trying to do is this:,IMPORTANT NOTE: You have to sort your data first.,
I haven't been able to find an understandable explanation of how to actually use Python's itertools.groupby() function.  What I'm trying to do is this:,itertools.groupby is a tool for grouping items.,
I haven't been able to find an understandable explanation of how to actually use Python's itertools.groupby() function.  What I'm trying to do is this:,The example on the Python docs is quite straightforward:,
